,FIPS,FOODINSEC_12_14,FOODINSEC_15_17,VLFOODSEC_12_14,VLFOODSEC_15_17
401,13029,15.7,13.0,6.2,4.4
402,13031,15.7,13.0,6.2,4.4
403,13033,15.7,13.0,6.2,4.4
404,13035,15.7,13.0,6.2,4.4
405,13037,15.7,13.0,6.2,4.4
406,13039,15.7,13.0,6.2,4.4
407,13043,15.7,13.0,6.2,4.4
408,13045,15.7,13.0,6.2,4.4
409,13047,15.7,13.0,6.2,4.4
410,13049,15.7,13.0,6.2,4.4
411,13051,15.7,13.0,6.2,4.4
412,13053,15.7,13.0,6.2,4.4
413,13055,15.7,13.0,6.2,4.4
414,13057,15.7,13.0,6.2,4.4
415,13059,15.7,13.0,6.2,4.4
416,13061,15.7,13.0,6.2,4.4
417,13063,15.7,13.0,6.2,4.4
418,13065,15.7,13.0,6.2,4.4
419,13067,15.7,13.0,6.2,4.4
420,13069,15.7,13.0,6.2,4.4
421,13071,15.7,13.0,6.2,4.4
422,13073,15.7,13.0,6.2,4.4
423,13075,15.7,13.0,6.2,4.4
424,13077,15.7,13.0,6.2,4.4
425,13079,15.7,13.0,6.2,4.4
426,13081,15.7,13.0,6.2,4.4
427,13083,15.7,13.0,6.2,4.4
428,13085,15.7,13.0,6.2,4.4
429,13087,15.7,13.0,6.2,4.4
430,13089,15.7,13.0,6.2,4.4
431,13091,15.7,13.0,6.2,4.4
432,13093,15.7,13.0,6.2,4.4
433,13095,15.7,13.0,6.2,4.4
434,13097,15.7,13.0,6.2,4.4
435,13099,15.7,13.0,6.2,4.4
436,13101,15.7,13.0,6.2,4.4
437,13103,15.7,13.0,6.2,4.4
438,13105,15.7,13.0,6.2,4.4
439,13107,15.7,13.0,6.2,4.4
440,13109,15.7,13.0,6.2,4.4
441,13111,15.7,13.0,6.2,4.4
442,13113,15.7,13.0,6.2,4.4
443,13115,15.7,13.0,6.2,4.4
444,13117,15.7,13.0,6.2,4.4
445,13119,15.7,13.0,6.2,4.4
446,13121,15.7,13.0,6.2,4.4
447,13123,15.7,13.0,6.2,4.4
448,13125,15.7,13.0,6.2,4.4
449,13127,15.7,13.0,6.2,4.4
450,13129,15.7,13.0,6.2,4.4
451,13131,15.7,13.0,6.2,4.4
452,13133,15.7,13.0,6.2,4.4
453,13135,15.7,13.0,6.2,4.4
454,13137,15.7,13.0,6.2,4.4
455,13139,15.7,13.0,6.2,4.4
456,13141,15.7,13.0,6.2,4.4
457,13143,15.7,13.0,6.2,4.4
458,13145,15.7,13.0,6.2,4.4
459,13147,15.7,13.0,6.2,4.4
460,13149,15.7,13.0,6.2,4.4
461,13151,15.7,13.0,6.2,4.4
462,13153,15.7,13.0,6.2,4.4
463,13155,15.7,13.0,6.2,4.4
464,13157,15.7,13.0,6.2,4.4
465,13159,15.7,13.0,6.2,4.4
466,13161,15.7,13.0,6.2,4.4
467,13163,15.7,13.0,6.2,4.4
468,13165,15.7,13.0,6.2,4.4
469,13167,15.7,13.0,6.2,4.4
470,13169,15.7,13.0,6.2,4.4
471,13171,15.7,13.0,6.2,4.4
472,13173,15.7,13.0,6.2,4.4
473,13175,15.7,13.0,6.2,4.4
474,13177,15.7,13.0,6.2,4.4
475,13179,15.7,13.0,6.2,4.4
476,13181,15.7,13.0,6.2,4.4
477,13183,15.7,13.0,6.2,4.4
478,13185,15.7,13.0,6.2,4.4
479,13187,15.7,13.0,6.2,4.4
480,13189,15.7,13.0,6.2,4.4
481,13191,15.7,13.0,6.2,4.4
482,13193,15.7,13.0,6.2,4.4
483,13195,15.7,13.0,6.2,4.4
484,13197,15.7,13.0,6.2,4.4
485,13199,15.7,13.0,6.2,4.4
486,13201,15.7,13.0,6.2,4.4
487,13205,15.7,13.0,6.2,4.4
488,13207,15.7,13.0,6.2,4.4
489,13209,15.7,13.0,6.2,4.4
490,13211,15.7,13.0,6.2,4.4
491,13213,15.7,13.0,6.2,4.4
492,13215,15.7,13.0,6.2,4.4
493,13217,15.7,13.0,6.2,4.4
494,13219,15.7,13.0,6.2,4.4
495,13221,15.7,13.0,6.2,4.4
496,13223,15.7,13.0,6.2,4.4
497,13225,15.7,13.0,6.2,4.4
