,FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,PCT_HSPA17,RECFACPTH11,RECFACPTH16
285,8081,5.7,6.3,20.5,22.6,27.400000000000006,0.074560095,0.075982068
286,8083,6.8,6.5,20.5,22.6,27.400000000000006,0.0392727,0.0
287,8085,5.4,8.1,20.5,22.6,27.400000000000006,0.146609652,0.09718173
288,8087,7.5,7.4,20.5,22.6,27.400000000000006,0.105648683,0.106902327
289,8089,7.1,6.8,20.5,22.6,27.400000000000006,0.0530223,0.0
290,8091,6.4,6.7,20.5,22.6,27.400000000000006,0.0,0.0
291,8093,4.9,6.7,20.5,22.6,27.400000000000006,0.0,0.0
292,8095,7.6,7.8,20.5,22.6,27.400000000000006,0.228623685,0.233590283
293,8097,4.3,5.1,20.5,22.6,27.400000000000006,0.466581127,0.335307924
294,8099,5.7,8.4,20.5,22.6,27.400000000000006,0.079897731,0.0
295,8101,6.8,9.1,20.5,22.6,27.400000000000006,0.0561899,0.072800514
296,8103,5.2,6.0,20.5,22.6,27.400000000000006,0.0,0.0
297,8105,6.1,6.9,20.5,22.6,27.400000000000006,0.16799664,0.088198977
298,8107,3.4,4.1,20.5,22.6,27.400000000000006,0.258108922,0.283641963
299,8109,5.4,7.0,20.5,22.6,27.400000000000006,0.0,0.0
300,8111,4.9,6.7,20.5,22.6,27.400000000000006,0.0,0.0
301,8113,4.2,5.0,20.5,22.6,27.400000000000006,0.133886732,0.125565043
302,8115,7.0,8.0,20.5,22.6,27.400000000000006,0.0,0.0
303,8117,3.5,4.1,20.5,22.6,27.400000000000006,0.107188795,0.065936964
304,8119,5.3,6.9,20.5,22.6,27.400000000000006,0.085605445,0.083194676
305,8121,7.3,6.5,20.5,22.6,27.400000000000006,0.0,0.0
306,8123,5.5,6.4,20.5,22.6,27.400000000000006,0.088965218,0.078166685
307,8125,6.4,6.1,20.5,22.6,27.400000000000006,0.0,0.0
308,9001,6.8,7.6,25.6,26.9,22.299999999999997,0.191521824,0.227562208
309,9003,7.9,9.6,25.6,26.9,22.299999999999997,0.125866305,0.158571162
310,9005,7.5,6.7,25.6,26.9,22.299999999999997,0.132221964,0.114693305
311,9007,7.4,8.4,25.6,26.9,22.299999999999997,0.150362373,0.159086598
312,9009,8.5,9.0,25.6,26.9,22.299999999999997,0.099453584,0.134887956
313,9011,7.8,9.2,25.6,26.9,22.299999999999997,0.095159319,0.115110264
314,9013,6.4,7.2,25.6,26.9,22.299999999999997,0.104532121,0.092626286
315,9015,9.1,10.1,25.6,26.9,22.299999999999997,0.118247238,0.103410834
316,10001,11.4,12.8,26.9,31.8,25.099999999999994,0.090827071,0.085834945
317,10003,7.9,9.0,26.9,31.8,25.099999999999994,0.160433133,0.166711183
318,10005,11.2,13.2,26.9,31.8,25.099999999999994,0.134694916,0.14084955
319,11001,8.3,8.1,21.9,22.9,13.400000000000006,0.120902221,0.14904959
320,12001,8.2,8.3,25.2,28.4,22.799999999999997,0.120080694,0.13997072
321,12003,12.2,13.0,25.2,28.4,22.799999999999997,0.073959027,0.071646068
322,12005,10.7,11.2,25.2,28.4,22.799999999999997,0.076686664,0.098364956
323,12007,11.3,14.4,25.2,28.4,22.799999999999997,0.070343275,0.074827896
324,12009,11.1,11.7,25.2,28.4,22.799999999999997,0.080817135,0.09517234
325,12011,9.3,9.5,25.2,28.4,22.799999999999997,0.088941545,0.106409503
