,FIPS,County,State,2010_Census_Population,Population_Estimate_2011,Population_Estimate_2012,Population_Estimate_2013,Population_Estimate_2014,Population_Estimate_2015,Population_Estimate_2016,Population_Estimate_2017,Population_Estimate_2018
265,8041,El Paso County, Colorado,622263,637120,645879,655320,663266,674156,688687,700800,713856
266,8043,Fremont County, Colorado,46824,47379,47060,46310,46133,46267,46982,47607,48021
267,8045,Garfield County, Colorado,56389,56065,56788,56971,57201,57760,58847,59113,59770
268,8047,Gilpin County, Colorado,5441,5431,5434,5534,5751,5807,5914,6026,6121
269,8049,Grand County, Colorado,14843,14562,14220,14311,14559,14721,15170,15356,15525
270,8051,Gunnison County, Colorado,15324,15322,15436,15653,15842,16178,16489,16931,17246
271,8053,Hinsdale County, Colorado,843,825,802,804,773,764,788,791,811
272,8055,Huerfano County, Colorado,6711,6527,6565,6463,6396,6407,6579,6645,6889
273,8057,Jackson County, Colorado,1394,1357,1325,1336,1385,1352,1357,1379,1399
274,8059,Jefferson County, Colorado,534543,540755,546764,552254,559085,565223,571779,575817,580233
275,8061,Kiowa County, Colorado,1398,1431,1409,1392,1380,1384,1342,1367,1383
276,8063,Kit Carson County, Colorado,8270,8170,8074,8247,8020,8215,7625,7152,7163
277,8065,Lake County, Colorado,7310,7342,7253,7265,7320,7442,7584,7753,7824
278,8067,La Plata County, Colorado,51334,51794,52369,53287,53788,54609,55258,55541,56310
279,8069,Larimer County, Colorado,299630,305237,310856,316258,324061,333309,338926,343993,350518
280,8071,Las Animas County, Colorado,15507,15041,14980,14390,14044,14043,14076,14231,14503
281,8073,Lincoln County, Colorado,5467,5418,5441,5435,5504,5545,5549,5530,5610
282,8075,Logan County, Colorado,22709,21869,21661,21469,21748,21771,21733,21665,21528
283,8077,Mesa County, Colorado,146723,147285,147437,147313,147312,148227,149838,151406,153207
284,8079,Mineral County, Colorado,712,711,719,732,703,744,757,759,776
285,8081,Moffat County, Colorado,13795,13421,13169,13124,12934,12938,13143,13095,13188
286,8083,Montezuma County, Colorado,25535,25474,25475,25544,25516,25722,25999,26148,26158
287,8085,Montrose County, Colorado,41276,40972,40654,40555,40596,40576,41168,41785,42214
288,8087,Morgan County, Colorado,28159,28453,28257,28236,28120,28237,28143,28228,28558
289,8089,Otero County, Colorado,18831,18867,18660,18481,18367,18210,18212,18403,18432
290,8091,Ouray County, Colorado,4436,4423,4506,4552,4574,4607,4788,4809,4833
291,8093,Park County, Colorado,16206,16055,16048,16184,16384,16736,17362,17920,18556
292,8095,Phillips County, Colorado,4442,4400,4416,4385,4395,4329,4283,4297,4286
293,8097,Pitkin County, Colorado,17148,17175,17299,17469,17726,17948,17967,17952,17950
294,8099,Prowers County, Colorado,12551,12529,12450,12345,12089,11971,11967,12071,12164
295,8101,Pueblo County, Colorado,159063,160248,160810,161145,161480,163111,164877,166426,167529
296,8103,Rio Blanco County, Colorado,6666,6782,6808,6747,6625,6503,6469,6394,6336
297,8105,Rio Grande County, Colorado,11982,11914,11867,11679,11508,11356,11337,11306,11250
298,8107,Routt County, Colorado,23509,23264,23285,23612,24083,24422,24787,25346,25733
299,8109,Saguache County, Colorado,6108,6187,6331,6242,6198,6251,6406,6643,6843
300,8111,San Juan County, Colorado,699,690,692,691,711,688,689,711,762
301,8113,San Miguel County, Colorado,7359,7486,7581,7622,7740,7840,8023,8047,8191
302,8115,Sedgwick County, Colorado,2379,2371,2377,2339,2333,2375,2405,2334,2303
303,8117,Summit County, Colorado,27994,28046,28307,28738,29330,30126,30676,31004,31007
304,8119,Teller County, Colorado,23350,23366,23442,23354,23430,23377,24036,24638,25083
305,8121,Washington County, Colorado,4814,4762,4700,4742,4732,4786,4836,4936,4909
306,8123,Weld County, Colorado,252825,258783,264058,270126,276037,285033,294965,305274,314305
307,8125,Yuma County, Colorado,10043,10134,10103,10135,10182,10050,10080,10015,10020
308,9001,Fairfield County, Connecticut,916829,927897,935097,939991,944355,945301,944802,943457,943823
