FIPS,FFRPTH11,FFRPTH16,PCH_FFRPTH_11_16
12095,0.762749143,0.778181895,2.023306431
12097,0.559675388,0.568064144,1.498860913
12099,0.614779386,0.644532002,4.839559821
12101,0.396568503,0.399560483,0.754467383
12103,0.64339486,0.680798166,5.813429284
12105,0.395131197,0.461756654,16.86160398
12107,0.461736946,0.400530357,-13.25572685
12109,0.571198344,0.633918467,10.98044562
12111,0.424262087,0.450863993,6.270158572
12113,0.488033546,0.517455296,6.028632733
12115,0.507503996,0.448073164,-11.71041649
12117,0.66132758,0.701271493,6.039958736
12119,0.295990855,0.204714996,-30.83739163
12121,0.345988836,0.57032052,64.83783887
12123,0.39731591,0.542544534,36.5524309
12125,0.130753138,0.19650226,50.28492828
12127,0.521761288,0.551945229,5.785009626
12129,0.355170966,0.344989807,-2.86655167
12131,0.647621789,0.702933985,8.540817713
12133,0.571265353,0.572597137,0.233128834
13001,0.812171747,0.811468758,-0.086556668
13003,0.358294518,0.600961538,67.72836539
13005,0.716717434,0.615926089,-14.06291245
13007,0.0,0.0,0.0
13009,0.620196248,0.907280372,46.28923909
13011,0.766409372,0.600797422,-21.60881066
13013,0.515065671,0.479952264,-6.817267904
13015,0.54883099,0.60910172,10.98165576
13017,0.911006092,0.523560209,-42.52945026
13019,0.515969248,0.473335437,-8.262858946
13021,1.165053516,1.207532391,3.646087929
13023,0.382262997,0.387657001,1.411071484
13025,0.161812298,0.381367475,135.6850994
13027,0.250093785,0.57350411,129.3156184
13029,0.671548719,0.837006863,24.63829346
13031,0.646608059,0.776220875,20.04503562
13033,0.255297421,0.442321302,73.25725407
13035,0.46659597,0.54829186,17.50891454
13037,0.150943396,0.312842171,107.2579384
13039,0.655959291,0.724969475,10.52049802
13043,0.802997859,0.916170408,14.09375477
13045,0.785496307,0.730925007,-6.947365591
13047,0.633106856,0.769613835,21.56144378
13049,0.445699005,0.548976551,23.17203879
13051,0.912200684,1.088496493,19.326428
13053,0.088786291,0.198019802,123.029703
13055,0.467344316,0.483227963,3.398703338
13057,0.560095492,0.645695364,15.28308544
13059,0.911907999,0.911868691,-0.0043105
13061,0.0,0.332667997,
13063,0.674645525,0.692842296,2.697234373
13065,0.594088816,0.589188393,-0.82486375
13067,0.769966434,0.852790958,10.75690064
13069,0.488008924,0.65093572,33.38602813
13071,0.567041787,0.634976243,11.98050269
13073,0.480940782,0.603590345,25.50200931
13075,0.821355236,0.814569151,-0.826205853
13077,0.494617174,0.541033088,9.384210021
13079,0.158541419,0.244081035,53.95411277
13081,0.799629645,0.828428167,3.60148245
13083,0.542528181,0.554118951,2.136436399
13085,0.807428341,0.719942405,-10.83513319
13087,0.650829808,0.823507393,26.53191091
13089,0.788927573,0.798189342,1.173969525
13091,0.555272778,0.575898642,3.71454624
13093,0.479452055,0.432120994,-9.871906991
13095,0.90467274,1.017755407,12.49984242
13097,0.608003123,0.66891516,10.01837583
