,FIPS,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13
1958,37137,41004.0,14.6,0,32.3,1,1
1959,37139,42171.0,19.1,0,29.5,1,0
1960,37141,49390.0,14.8,0,21.9,0,1
1961,37143,42337.0,17.6,0,31.6,1,0
1962,37145,43917.0,16.3,0,24.0,0,1
1963,37147,41909.0,25.9,1,30.6,1,1
1964,37149,45672.0,13.5,0,24.1,0,0
1965,37151,43216.0,16.4,0,25.0,0,1
1966,37153,33017.0,28.7,0,42.8,0,0
1967,37155,32128.0,30.6,1,41.9,1,0
1968,37157,40148.0,18.4,0,26.3,0,1
1969,37159,44862.0,17.3,0,26.5,0,1
1970,37161,36998.0,19.2,0,29.6,0,0
1971,37163,40660.0,21.4,0,29.5,1,0
1972,37165,35447.0,29.0,0,44.4,0,0
1973,37167,44878.0,17.1,0,25.1,0,0
1974,37169,42889.0,15.3,0,22.8,0,1
1975,37171,38408.0,18.2,0,27.0,0,0
1976,37173,36103.0,16.2,0,26.0,1,0
1977,37175,45792.0,15.4,0,29.6,0,0
1978,37177,33759.0,25.0,1,36.2,1,0
1979,37179,71690.0,9.7,0,12.7,0,1
1980,37181,32698.0,24.6,0,37.3,1,0
1981,37183,70629.0,11.1,0,14.7,0,1
1982,37185,34149.0,27.3,0,37.1,1,0
1983,37187,35146.0,23.4,1,40.9,1,0
1984,37189,41762.0,25.3,0,18.9,0,0
1985,37191,41161.0,18.4,0,28.1,0,1
1986,37193,40647.0,18.7,0,27.4,0,0
1987,37195,41276.0,19.9,0,30.3,1,0
1988,37197,41208.0,16.3,0,24.9,0,1
1989,37199,36418.0,19.3,0,29.2,1,0
1990,38001,48106.0,10.1,0,12.4,0,0
1991,38003,51053.0,12.4,0,13.5,0,0
1992,38005,39969.0,27.9,1,39.0,1,0
1993,38007,76913.0,7.1,0,5.9,0,0
1994,38009,56645.0,10.6,0,13.7,0,0
1995,38011,62892.0,7.6,0,7.7,0,0
1996,38013,68477.0,8.4,0,11.1,0,0
1997,38015,66057.0,9.0,0,8.5,0,1
1998,38017,55946.0,10.7,0,10.0,0,1
1999,38019,57200.0,9.4,0,13.0,0,0
2000,38021,56325.0,10.3,0,14.3,0,0
2001,38023,62922.0,8.6,0,11.2,0,0
2002,38025,73135.0,9.9,0,12.2,0,0
2003,38027,47804.0,11.3,0,15.0,0,0
2004,38029,46952.0,13.9,0,16.2,0,0
2005,38031,53408.0,8.4,0,12.0,0,0
2006,38033,56948.0,10.2,0,12.3,0,0
2007,38035,52022.0,14.3,0,13.8,0,1
2008,38037,40879.0,15.6,0,18.4,0,0
2009,38039,47222.0,10.0,0,9.5,0,0
2010,38041,53403.0,10.6,0,10.2,0,0
2011,38043,46800.0,13.9,0,18.8,1,0
2012,38045,58638.0,10.9,0,13.3,0,0
2013,38047,50047.0,11.8,0,13.3,0,0
2014,38049,56351.0,11.1,0,13.0,0,0
2015,38051,48494.0,12.5,0,16.4,0,0
2016,38053,82906.0,8.4,0,10.2,0,0
2017,38055,62480.0,10.0,0,12.0,0,0
2018,38057,75698.0,7.2,0,7.0,0,0
2019,38059,64260.0,7.8,0,10.7,0,1
