,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,PCT_HSPA17,RECFACPTH11,RECFACPTH16
273,6.7,6.6,20.5,22.6,27.400000000000006,0.0,0.0
274,5.4,5.4,20.5,22.6,27.400000000000006,0.116574055,0.159414476
275,7.3,7.7,20.5,22.6,27.400000000000006,0.0,0.0
276,6.3,7.3,20.5,22.6,27.400000000000006,0.245218244,0.0
277,4.5,5.4,20.5,22.6,27.400000000000006,0.0,0.131475151
278,4.0,4.8,20.5,22.6,27.400000000000006,0.135213444,0.126774848
279,4.6,5.2,20.5,22.6,27.400000000000006,0.140971127,0.162466657
280,6.3,7.7,20.5,22.6,27.400000000000006,0.199560966,0.070987435
281,6.2,7.6,20.5,22.6,27.400000000000006,0.0,0.0
282,5.9,7.0,20.5,22.6,27.400000000000006,0.0452817,0.04561
283,5.6,7.2,20.5,22.6,27.400000000000006,0.081479671,0.066758348
284,6.2,6.8,20.5,22.6,27.400000000000006,0.0,0.0
285,5.7,6.3,20.5,22.6,27.400000000000006,0.074560095,0.075982068
286,6.8,6.5,20.5,22.6,27.400000000000006,0.0392727,0.0
287,5.4,8.1,20.5,22.6,27.400000000000006,0.146609652,0.09718173
288,7.5,7.4,20.5,22.6,27.400000000000006,0.105648683,0.106902327
289,7.1,6.8,20.5,22.6,27.400000000000006,0.0530223,0.0
290,6.4,6.7,20.5,22.6,27.400000000000006,0.0,0.0
291,4.9,6.7,20.5,22.6,27.400000000000006,0.0,0.0
292,7.6,7.8,20.5,22.6,27.400000000000006,0.228623685,0.233590283
293,4.3,5.1,20.5,22.6,27.400000000000006,0.466581127,0.335307924
294,5.7,8.4,20.5,22.6,27.400000000000006,0.079897731,0.0
295,6.8,9.1,20.5,22.6,27.400000000000006,0.0561899,0.072800514
296,5.2,6.0,20.5,22.6,27.400000000000006,0.0,0.0
297,6.1,6.9,20.5,22.6,27.400000000000006,0.16799664,0.088198977
298,3.4,4.1,20.5,22.6,27.400000000000006,0.258108922,0.283641963
299,5.4,7.0,20.5,22.6,27.400000000000006,0.0,0.0
300,4.9,6.7,20.5,22.6,27.400000000000006,0.0,0.0
301,4.2,5.0,20.5,22.6,27.400000000000006,0.133886732,0.125565043
302,7.0,8.0,20.5,22.6,27.400000000000006,0.0,0.0
303,3.5,4.1,20.5,22.6,27.400000000000006,0.107188795,0.065936964
304,5.3,6.9,20.5,22.6,27.400000000000006,0.085605445,0.083194676
305,7.3,6.5,20.5,22.6,27.400000000000006,0.0,0.0
