,FOODINSEC_12_14,FOODINSEC_15_17,VLFOODSEC_12_14,VLFOODSEC_15_17
632,14.1,11.0,5.3,4.0
633,14.1,11.0,5.3,4.0
634,14.1,11.0,5.3,4.0
635,14.1,11.0,5.3,4.0
636,14.1,11.0,5.3,4.0
637,14.1,11.0,5.3,4.0
638,14.1,11.0,5.3,4.0
639,14.1,11.0,5.3,4.0
640,14.1,11.0,5.3,4.0
641,14.1,11.0,5.3,4.0
642,14.1,11.0,5.3,4.0
643,14.1,11.0,5.3,4.0
644,14.1,11.0,5.3,4.0
645,14.1,11.0,5.3,4.0
646,14.1,11.0,5.3,4.0
647,14.1,11.0,5.3,4.0
648,14.1,11.0,5.3,4.0
649,14.1,11.0,5.3,4.0
650,14.1,11.0,5.3,4.0
651,14.1,11.0,5.3,4.0
652,14.1,11.0,5.3,4.0
653,14.1,11.0,5.3,4.0
654,14.1,11.0,5.3,4.0
655,14.1,11.0,5.3,4.0
656,14.1,11.0,5.3,4.0
657,14.1,11.0,5.3,4.0
658,14.1,11.0,5.3,4.0
659,14.1,11.0,5.3,4.0
660,14.1,11.0,5.3,4.0
661,14.1,11.0,5.3,4.0
662,14.1,11.0,5.3,4.0
663,14.1,11.0,5.3,4.0
664,14.1,11.0,5.3,4.0
665,14.1,11.0,5.3,4.0
666,14.1,11.0,5.3,4.0
667,14.1,11.0,5.3,4.0
668,14.1,11.0,5.3,4.0
669,14.1,11.0,5.3,4.0
670,14.1,11.0,5.3,4.0
671,14.1,11.0,5.3,4.0
672,14.1,11.0,5.3,4.0
673,14.1,11.0,5.3,4.0
674,14.1,11.0,5.3,4.0
675,14.1,11.0,5.3,4.0
676,14.1,11.0,5.3,4.0
677,14.1,11.0,5.3,4.0
678,14.1,11.0,5.3,4.0
679,14.1,11.0,5.3,4.0
680,14.1,11.0,5.3,4.0
681,14.1,11.0,5.3,4.0
682,14.1,11.0,5.3,4.0
683,14.1,11.0,5.3,4.0
684,14.1,11.0,5.3,4.0
685,14.1,11.0,5.3,4.0
686,14.1,11.0,5.3,4.0
687,14.1,11.0,5.3,4.0
688,14.1,11.0,5.3,4.0
689,14.1,11.0,5.3,4.0
690,14.1,11.0,5.3,4.0
691,14.1,11.0,5.3,4.0
692,14.1,11.0,5.3,4.0
693,14.1,11.0,5.3,4.0
694,14.1,11.0,5.3,4.0
695,14.1,11.0,5.3,4.0
696,14.1,11.0,5.3,4.0
697,11.7,11.2,4.4,4.7
698,11.7,11.2,4.4,4.7
699,11.7,11.2,4.4,4.7
700,11.7,11.2,4.4,4.7
701,11.7,11.2,4.4,4.7
702,11.7,11.2,4.4,4.7
703,11.7,11.2,4.4,4.7
704,11.7,11.2,4.4,4.7
705,11.7,11.2,4.4,4.7
706,11.7,11.2,4.4,4.7
707,11.7,11.2,4.4,4.7
708,11.7,11.2,4.4,4.7
709,11.7,11.2,4.4,4.7
710,11.7,11.2,4.4,4.7
711,11.7,11.2,4.4,4.7
712,11.7,11.2,4.4,4.7
713,11.7,11.2,4.4,4.7
714,11.7,11.2,4.4,4.7
715,11.7,11.2,4.4,4.7
716,11.7,11.2,4.4,4.7
717,11.7,11.2,4.4,4.7
718,11.7,11.2,4.4,4.7
719,11.7,11.2,4.4,4.7
720,11.7,11.2,4.4,4.7
721,11.7,11.2,4.4,4.7
722,11.7,11.2,4.4,4.7
723,11.7,11.2,4.4,4.7
724,11.7,11.2,4.4,4.7
725,11.7,11.2,4.4,4.7
726,11.7,11.2,4.4,4.7
727,11.7,11.2,4.4,4.7
728,11.7,11.2,4.4,4.7
729,11.7,11.2,4.4,4.7
730,11.7,11.2,4.4,4.7
731,11.7,11.2,4.4,4.7
732,11.7,11.2,4.4,4.7
733,11.7,11.2,4.4,4.7
734,11.7,11.2,4.4,4.7
735,11.7,11.2,4.4,4.7
736,11.7,11.2,4.4,4.7
737,11.7,11.2,4.4,4.7
738,11.7,11.2,4.4,4.7
739,11.7,11.2,4.4,4.7
740,11.7,11.2,4.4,4.7
741,11.7,11.2,4.4,4.7
742,11.7,11.2,4.4,4.7
743,11.7,11.2,4.4,4.7
744,11.7,11.2,4.4,4.7
745,11.7,11.2,4.4,4.7
746,11.7,11.2,4.4,4.7
747,11.7,11.2,4.4,4.7
748,11.7,11.2,4.4,4.7
749,11.7,11.2,4.4,4.7
750,11.7,11.2,4.4,4.7
751,11.7,11.2,4.4,4.7
752,11.7,11.2,4.4,4.7
753,11.7,11.2,4.4,4.7
754,11.7,11.2,4.4,4.7
755,11.7,11.2,4.4,4.7
756,11.7,11.2,4.4,4.7
757,11.7,11.2,4.4,4.7
758,11.7,11.2,4.4,4.7
759,11.7,11.2,4.4,4.7
760,11.7,11.2,4.4,4.7
761,11.7,11.2,4.4,4.7
762,11.7,11.2,4.4,4.7
